label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,42,5375.0,477.3624782562256,608,1158,88,170,644,1233,608,696
L,44,5674.5,475.74725437164307,608,1142,88,165,646,1213,608,696
L,45,4643.5,492.23253536224365,608,1137,85,159,641,1206,608,693
L,46,4708.5,409.320848941803,608,1134,86,140,646,1196,608,694
L,47,4903.0,446.53405141830444,608,1119,86,155,640,1187,608,694
L,48,3662.0,385.4213535785675,607,1126,86,122,640,1182,607,693
L,49,4718.5,403.17871284484863,608,1102,86,134,647,1158,608,694
L,50,3381.0,390.39191579818726,607,1102,85,127,640,1158,607,692
L,51,4136.5,410.4924213886261,607,1091,86,128,645,1143,607,693
L,52,4043.5,410.4924211502075,606,1080,87,136,641,1134,606,693
L,53,3752.0,390.24978053569794,605,1082,88,128,640,1133,605,693
L,54,4980.5,417.6639943122864,606,1059,88,135,644,1111,606,694
L,55,4485.0,408.93607246875763,606,1059,87,139,639,1114,606,693
L,56,5142.5,455.2619733810425,605,1048,88,152,641,1104,605,693
L,57,5331.5,415.948264837265,605,1035,89,147,641,1095,605,694
L,58,4625.0,416.6761865615845,606,1035,87,141,639,1091,606,693
L,59,5468.5,415.8061295747757,605,1014,88,138,642,1072,605,693
L,60,4881.5,442.5756814479828,604,1012,89,140,639,1069,604,693
L,61,4807.5,427.806129693985,605,1000,88,136,642,1057,605,693
L,62,5286.5,421.1198378801346,606,987,88,135,643,1043,606,694
L,63,4507.0,430.04877042770386,605,988,87,137,639,1043,605,692
L,64,5543.0,479.5046136379242,605,966,87,154,643,1025,605,692
L,65,4729.0,434.04877030849457,606,964,86,149,641,1017,606,692
L,66,5038.5,452.4924213886261,606,953,86,149,642,1009,606,692
L,67,5864.0,472.39191603660583,606,938,87,170,641,998,606,693
L,68,4947.0,457.22034335136414,605,940,87,158,638,995,605,692
L,69,6138.5,561.1198381185532,605,917,87,181,641,979,605,692
L,70,5351.0,515.8477598428726,605,914,87,166,639,971,605,692
L,71,5501.0,476.53405129909515,604,904,88,164,639,965,604,692
L,72,5660.0,463.9898945093155,604,888,88,154,641,947,604,692
L,73,4885.0,429.0193325281143,604,890,88,146,639,946,604,692
L,74,6023.0,481.84775936603546,604,864,87,174,643,929,604,691
L,75,5216.5,450.7766921520233,604,863,87,154,644,918,604,691
