video_stem,optimal_frame,alignment_score_px,centroid_L_y_px,centroid_C_y_px,centroid_R_y_px,aspect_L_h_over_w,aspect_C_h_over_w,aspect_R_h_over_w,in_per_pixel,px_per_in,frames_ahead,centroid_disp_in,centroid_vel_in_s
GX010283_trimmed,48,14,672,673,686,1.7045454545454546,1.9205298013245033,1.6746987951807228,0.013245033112582781,75.5,4,-0.847682119205298,50.860927152317885
GX010285_trimmed,65,16,693,706,709,1.3636363636363635,1.5066666666666666,1.35,0.013333333333333334,75.0,4,-0.6666666666666667,40.00000000000001
GX010289_trimmed,154,14,669,671,683,1.5632183908045978,1.7333333333333334,1.55,0.013333333333333334,75.0,4,-0.7200000000000001,43.2
GX010290_trimmed,93,10,681,690,691,1.9090909090909092,2.0738255033557045,1.9625,0.013422818791946308,74.5,4,-0.912751677852349,54.76510067114094
GX010293_trimmed,41,18,677,690,695,1.8426966292134832,2.1283783783783785,2.0253164556962027,0.013513513513513514,74.0,4,-0.8243243243243243,49.45945945945946
GX010299_trimmed,68,17,654,660,671,1.8314606741573034,1.9602649006622517,1.8658536585365855,0.013245033112582781,75.5,4,-0.9271523178807947,55.62913907284768
GX010303_trimmed,67,16,688,700,704,1.6555555555555554,1.7777777777777777,1.627906976744186,0.013071895424836602,76.5,4,-1.1895424836601307,71.37254901960785
GX010309_trimmed,97,15,688,701,703,1.7752808988764044,1.986842105263158,1.7857142857142858,0.013157894736842105,76.0,4,-1.2894736842105263,77.36842105263158
GX010312_trimmed,70,14,689,703,703,1.9555555555555555,2.1437908496732025,1.9285714285714286,0.013071895424836602,76.5,4,-1.3856209150326797,83.13725490196079
GX010313_trimmed,49,18,693,710,711,1.673913043478261,1.894736842105263,1.7023809523809523,0.013157894736842105,76.0,4,-0.6973684210526315,41.84210526315789
GX010285_trimmed,65,16,693,706,709,1.3636363636363635,1.5066666666666666,1.35,0.013333333333333334,75.0,4,-0.6666666666666667,40.00000000000001
GX010283_trimmed,48,14,672,673,686,1.7045454545454546,1.9205298013245033,1.6746987951807228,0.013245033112582781,75.5,4,-0.847682119205298,50.860927152317885
GX010283_trimmed,48,14,672,673,686,1.7045454545454546,1.9205298013245033,1.6746987951807228,0.013245033112582781,75.5,4,-0.847682119205298,50.860927152317885
GX010283_trimmed,48,14,672,673,686,1.7045454545454546,1.9205298013245033,1.6746987951807228,0.013245033112582781,75.5,4,-0.847682119205298,50.860927152317885
GX010285_trimmed,65,16,693,706,709,1.3636363636363635,1.5066666666666666,1.35,0.013333333333333334,75.0,4,-0.6666666666666667,40.00000000000001
GX010289_trimmed,154,14,669,671,683,1.5632183908045978,1.7333333333333334,1.55,0.013333333333333334,75.0,4,-0.7200000000000001,43.2
GX010290_trimmed,93,10,681,690,691,1.9090909090909092,2.0738255033557045,1.9625,0.013422818791946308,74.5,4,-0.912751677852349,54.76510067114094
GX010293_trimmed,41,18,677,690,695,1.8426966292134832,2.1283783783783785,2.0253164556962027,0.013513513513513514,74.0,4,-0.8243243243243243,49.45945945945946
GX010299_trimmed,68,17,654,660,671,1.8314606741573034,1.9602649006622517,1.8658536585365855,0.013245033112582781,75.5,4,-0.9271523178807947,55.62913907284768
GX010303_trimmed,67,16,688,700,704,1.6555555555555554,1.7777777777777777,1.627906976744186,0.013071895424836602,76.5,4,-1.1895424836601307,71.37254901960785
GX010309_trimmed,97,15,688,701,703,1.7752808988764044,1.986842105263158,1.7857142857142858,0.013157894736842105,76.0,4,-1.2894736842105263,77.36842105263158
GX010312_trimmed,70,14,689,703,703,1.9555555555555555,2.1437908496732025,1.9285714285714286,0.013071895424836602,76.5,4,-1.3856209150326797,83.13725490196079
GX010313_trimmed,49,18,693,710,711,1.673913043478261,1.894736842105263,1.7023809523809523,0.013157894736842105,76.0,4,-0.6973684210526315,41.84210526315789
